Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 43.19      0.89     0.89 10382507     0.00     0.00  String::length() const
 33.18      1.57     0.68   858950     0.00     0.00  String::String(String const&)
 11.71      1.81     0.24  2644560     0.00     0.00  String::String(int, char const*)
  2.44      1.86     0.05  2934500     0.00     0.00  String::swap(String&)
  1.95      1.90     0.04  2644560     0.00     0.00  String::operator+(String const&) const
  1.46      1.93     0.03    69951     0.00     0.00  String::split(char) const
  0.98      1.95     0.02  6757838     0.00     0.00  String::~String()
  0.98      1.97     0.02  2874438     0.00     0.00  String::String(char)
  0.49      1.98     0.01   689575     0.00     0.00  std::vector<String, std::allocator<String> >::size() const
  0.49      1.99     0.01   679576     0.00     0.00  __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::base() const
  0.49      2.00     0.01   509683     0.00     0.00  __gnu_cxx::new_allocator<String>::max_size() const
  0.49      2.01     0.01   339788     0.00     0.00  String* std::uninitialized_copy<String*, String*>(String*, String*, String*)
  0.49      2.02     0.01   289840     0.00     0.00  String::operator==(String const&) const
  0.49      2.03     0.01   239846     0.00     0.00  void std::_Destroy_aux<false>::__destroy<String*>(String*, String*)
  0.49      2.04     0.01   169894     0.00     0.00  __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::difference_type __gnu_cxx::operator-<String*, std::vector<String, std::allocator<String> > >(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > > const&, __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > > const&)
  0.49      2.05     0.01    26382     0.00     0.00  LogEntry::LogEntry(LogEntry const&)
  0.24      2.05     0.01                             operator>(String const&, String const&)
  0.00      2.05     0.00  2934500     0.00     0.00  String::operator=(String)
  0.00      2.05     0.00   719622     0.00     0.00  String* std::__addressof<String>(String&)
  0.00      2.05     0.00   579635     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_M_get_Tp_allocator()
  0.00      2.05     0.00   506128     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.05     0.00   479746     0.00     0.00  void std::_Destroy<String>(String*)
  0.00      2.05     0.00   339788     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<String> >::max_size(std::allocator<String> const&)
  0.00      2.05     0.00   339788     0.00     0.00  __gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >::__normal_iterator(String* const&)
  0.00      2.05     0.00   339788     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_M_get_Tp_allocator() const
  0.00      2.05     0.00   339788     0.00     0.00  std::vector<String, std::allocator<String> >::max_size() const
  0.00      2.05     0.00   339788     0.00     0.00  String* std::__uninitialized_copy<false>::__uninit_copy<String*, String*>(String*, String*, String*)
  0.00      2.05     0.00   339788     0.00     0.00  String* std::__uninitialized_copy_a<String*, String*, String>(String*, String*, String*, std::allocator<String>&)
  0.00      2.05     0.00   339788     0.00     0.00  String* std::__uninitialized_move_if_noexcept_a<String*, String*, std::allocator<String> >(String*, String*, String*, std::allocator<String>&)
  0.00      2.05     0.00   279845     0.00     0.00  operator!=(String const&, String const&)
  0.00      2.05     0.00   239937     0.00     0.00  String::String(char const*)
  0.00      2.05     0.00   239876     0.00     0.00  void std::_Construct<String, String>(String*, String const&)
  0.00      2.05     0.00   239870     0.00     0.00  __gnu_cxx::new_allocator<String>::construct(String*, String const&)
  0.00      2.05     0.00   239870     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<String> >::construct<String>(std::allocator<String>&, String*, String const&)
  0.00      2.05     0.00   239870     0.00     0.00  std::vector<String, std::allocator<String> >::push_back(String const&)
  0.00      2.05     0.00   239846     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_M_deallocate(String*, unsigned long)
  0.00      2.05     0.00   239846     0.00     0.00  void std::_Destroy<String*>(String*, String*)
  0.00      2.05     0.00   239846     0.00     0.00  void std::_Destroy<String*, String>(String*, String*, std::allocator<String>&)
  0.00      2.05     0.00   234672     0.00     0.00  std::vector<String, std::allocator<String> >::operator[](unsigned long)
  0.00      2.05     0.00   169909     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.05     0.00   169895     0.00     0.00  __gnu_cxx::new_allocator<String>::deallocate(String*, unsigned long)
  0.00      2.05     0.00   169895     0.00     0.00  __gnu_cxx::new_allocator<String>::allocate(unsigned long, void const*)
  0.00      2.05     0.00   169895     0.00     0.00  std::_Vector_base<String, std::allocator<String> >::_M_allocate(unsigned long)
  0.00      2.05     0.00   169894     0.00     0.00  std::vector<String, std::allocator<String> >::_M_check_len(unsigned long, char const*) const
  0.00      2.05     0.00   169894     0.00     0.00  std::vector<String, std::allocator<String> >::_M_insert_aux(__gnu_cxx::__normal_iterator<String*, std::vector<String, std::allocator<String> > >, String const&)
  0.00      2.05     0.00   169894     0.00     0.00  std::vector<String, std::allocator<String> >::end()
